ticket_id,ticket_text,issue_type,urgency_level,product,cleaned_text,text_length,word_count,sentiment,tokens,processed_text
140,Payment issue for my UltraClean Vacuum. I was debited incorrectly for order #76140.,Billing Problem,Medium,UltraClean Vacuum,payment issue for my ultraclean vacuum. i was debited incorrectly for order .,77,13,-0.008333333333333333,"['payment', 'issue', 'ultraclean', 'vacuum', 'debited', 'incorrectly', 'order']",payment issue ultraclean vacuum debited incorrectly order
141,,Installation Issue,Low,Vision LED TV,,0,0,0.0,[],empty text
142,FitRun Treadmill is charged. It stopped working after just 12 days.,Product Defect,High,FitRun Treadmill,fitrun treadmill is charged. it stopped working after just days.,64,10,0.0,"['fitrun', 'treadmill', 'charged', 'stopped', 'working', 'day']",fitrun treadmill charged stopped working day
143,Can't log in to my account. Keeps showing error. Help!,Account Access,Low,RoboChef Blender,can t log in to my account. keeps showing error. help!,54,11,0.0,"['log', 'account', 'keep', 'showing', 'error', 'help']",log account keep showing error help
144,I ordered EcoBreeze AC but got UltraClean Vacuum instead. My order number is #97605.,Wrong Item,High,EcoBreeze AC,i ordered ecobreeze ac but got ultraclean vacuum instead. my order number is .,78,14,-0.008333333333333333,"['ordered', 'ecobreeze', 'got', 'ultraclean', 'vacuum', 'instead', 'order', 'number']",ordered ecobreeze got ultraclean vacuum instead order number
145,Account problem. Assistance needed.,Account Access,Medium,FitRun Treadmill,account problem. assistance needed.,35,4,0.0,"['account', 'problem', 'assistance', 'needed']",account problem assistance needed
146,Payment issue for my PowerMax Battery. I was overbilled for order #18696.,Billing Problem,Low,PowerMax Battery,payment issue for my powermax battery. i was overbilled for order .,67,12,0.0,"['payment', 'issue', 'powermax', 'battery', 'overbilled', 'order']",payment issue powermax battery overbilled order
147,SmartWatch V2 is no response. It stopped working after just 5 days. Delivery expected by 25 April.,Product Defect,High,SmartWatch V2,smartwatch v is no response. it stopped working after just days. delivery expected by april.,92,15,-0.1,"['smartwatch', 'response', 'stopped', 'working', 'day', 'delivery', 'expected', 'april']",smartwatch response stopped working day delivery expected april
148,Vision LED TV is broken. It stopped working after just 1 days.,Product Defect,High,Vision LED TV,vision led tv is broken. it stopped working after just days.,60,11,-0.4,"['vision', 'led', 'broken', 'stopped', 'working', 'day']",vision led broken stopped working day
149,Facing installation issue with . Setup fails at step 2.,Unknown,High,PowerMax Battery,facing installation issue with . setup fails at step .,54,10,-0.5,"['facing', 'installation', 'issue', 'setup', 'fails', 'step']",facing installation issue setup fails step
150,Order #31364 placed on 15 May still not here.,Late Delivery,High,EcoBreeze AC,order placed on may still not here.,35,7,0.0,"['order', 'placed', 'may', 'still']",order placed may still
151,Both my PowerMax Battery and FitRun Treadmill are not received. Both giving issues. Delivery expected by 16 April.,Product Defect,Low,PowerMax Battery,both my powermax battery and fitrun treadmill are not received. both giving issues. delivery expected by april.,111,17,-0.1,"['powermax', 'battery', 'fitrun', 'treadmill', 'received', 'giving', 'issue', 'delivery', 'expected', 'april']",powermax battery fitrun treadmill received giving issue delivery expected april
152,Both my PhotoSnap Cam and Vision LED TV are faulty. Both giving issues.,Product Defect,High,PhotoSnap Cam,both my photosnap cam and vision led tv are faulty. both giving issues.,71,13,0.0,"['photosnap', 'cam', 'vision', 'led', 'faulty', 'giving', 'issue']",photosnap cam vision led faulty giving issue
153, is not working. It stopped working after just 12 days.,Product Defect,High,ProTab X1,is not working. it stopped working after just days.,51,9,0.0,"['working', 'stopped', 'working', 'day']",working stopped working day
154,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,Medium,ProTab X1,can you tell me more about the protab x warranty? also is it available in blue?,79,16,0.3,"['tell', 'protab', 'warranty', 'also', 'available', 'blue']",tell protab warranty also available blue
155,"Payment issue for my . I was not refunded for order #59838. Also, I contacted support on 14 May but got no response.",Billing Problem,Low,FitRun Treadmill,payment issue for my . i was not refunded for order . also i contacted support on may but got no response.,106,22,0.0,"['payment', 'issue', 'refunded', 'order', 'also', 'contacted', 'support', 'may', 'got', 'response']",payment issue refunded order also contacted support may got response
156,"Can you tell me more about teh EcoBreeze AC warranty? Also, is it available in black?",General Inquiry,Low,EcoBreeze AC,can you tell me more about teh ecobreeze ac warranty? also is it available in black?,84,16,0.24444444444444446,"['tell', 'teh', 'ecobreeze', 'warranty', 'also', 'available', 'black']",tell teh ecobreeze warranty also available black
157,Order #58051 for RoboChef Blender is 16 days late. Ordered on 07 March.,Late Delivery,High,RoboChef Blender,order for robochef blender is days late. ordered on march.,58,10,-0.3,"['order', 'robochef', 'blender', 'day', 'late', 'ordered', 'march']",order robochef blender day late ordered march
158,Payment issue for my EcoBreeze AC. I was charged twice for order #26025.,Billing Problem,Low,EcoBreeze AC,payment issue for my ecobreeze ac. i was charged twice for order .,66,13,0.0,"['payment', 'issue', 'ecobreeze', 'charged', 'twice', 'order']",payment issue ecobreeze charged twice order
159,Order #40339 for PhotoSnap Cam is 13 days late. Ordered on 25 April.,Late Delivery,Low,PhotoSnap Cam,order for photosnap cam is days late. ordered on april.,55,10,-0.3,"['order', 'photosnap', 'cam', 'day', 'late', 'ordered', 'april']",order photosnap cam day late ordered april
160,Payment issue fr mi RoboChef Blender. I was charged twice fr order #81706.,Billing Problem,Medium,RoboChef Blender,payment issue fr mi robochef blender. i was charged twice fr order .,68,13,0.0,"['payment', 'issue', 'robochef', 'blender', 'charged', 'twice', 'order']",payment issue robochef blender charged twice order
161,Order #90105 for UltraClean Vacuum is 1 days late. Ordered on 03 March.,Late Delivery,Low,UltraClean Vacuum,order for ultraclean vacuum is days late. ordered on march.,59,10,-0.15416666666666667,"['order', 'ultraclean', 'vacuum', 'day', 'late', 'ordered', 'march']",order ultraclean vacuum day late ordered march
162,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,SoundWave 300,can t log in to my account. keeps showing captcha failed. help!,63,12,-0.625,"['log', 'account', 'keep', 'showing', 'captcha', 'failed', 'help']",log account keep showing captcha failed help
163,Can't log in to my account. Keeps showing captcha failed. Help!,Account Access,Low,Vision LED TV,can t log in to my account. keeps showing captcha failed. help!,63,12,-0.625,"['log', 'account', 'keep', 'showing', 'captcha', 'failed', 'help']",log account keep showing captcha failed help
164,"Can you tell me more about the ProTab X1 warranty? Also, is it available in white?",General Inquiry,Low,ProTab X1,can you tell me more about the protab x warranty? also is it available in white?,80,16,0.3,"['tell', 'protab', 'warranty', 'also', 'available', 'white']",tell protab warranty also available white
165,"Can you tell me more about the PowerMax Battery warranty? Also, is it available in red?",General Inquiry,High,PowerMax Battery,can you tell me more about the powermax battery warranty? also is it available in red?,86,16,0.3,"['tell', 'powermax', 'battery', 'warranty', 'also', 'available', 'red']",tell powermax battery warranty also available red
166,"Account problem. Assistance needed. Also, I contacted support on 12 March but got no response.",Account Access,Medium,PowerMax Battery,account problem. assistance needed. also i contacted support on march but got no response.,90,14,0.0,"['account', 'problem', 'assistance', 'needed', 'also', 'contacted', 'support', 'march', 'got', 'response']",account problem assistance needed also contacted support march got response
167,"Can't log in to my account. Keeps showing error. Help! Also, I contacted support on 23 March but got no response.",Account Access,Low,PowerMax Battery,can t log in to my account. keeps showing error. help! also i contacted support on march but got no response.,109,21,0.0,"['log', 'account', 'keep', 'showing', 'error', 'help', 'also', 'contacted', 'support', 'march', 'got', 'response']",log account keep showing error help also contacted support march got response
168,"Order #58396 for PowerMax Battery is 16 days late. Ordered on 03 April. Also, I contacted support on 03 April but got no response.",Late Delivery,High,PowerMax Battery,order for powermax battery is days late. ordered on april. also i contacted support on april but got no response.,113,20,-0.3,"['order', 'powermax', 'battery', 'day', 'late', 'ordered', 'april', 'also', 'contacted', 'support', 'april', 'got', 'response']",order powermax battery day late ordered april also contacted support april got response
169,Payment issue for my SoundWave 300. I was not refunded for order #45749.,Billing Problem,High,SoundWave 300,payment issue for my soundwave . i was not refunded for order .,63,13,0.0,"['payment', 'issue', 'soundwave', 'refunded', 'order']",payment issue soundwave refunded order
170,Payment issue for my Vision LED TV. I was debited incorrectly for order #63168.,Billing Problem,High,Vision LED TV,payment issue for my vision led tv. i was debited incorrectly for order .,73,14,0.0,"['payment', 'issue', 'vision', 'led', 'debited', 'incorrectly', 'order']",payment issue vision led debited incorrectly order
171,Account problem. Assistance needed.,Account Access,High,FitRun Treadmill,account problem. assistance needed.,35,4,0.0,"['account', 'problem', 'assistance', 'needed']",account problem assistance needed
172,"Can you tell me more about the EcoBreeze AC warranty? Also, is it available in blue?",General Inquiry,Low,EcoBreeze AC,can you tell me more about the ecobreeze ac warranty? also is it available in blue?,83,16,0.3,"['tell', 'ecobreeze', 'warranty', 'also', 'available', 'blue']",tell ecobreeze warranty also available blue
173,Order #84031 for SmartWatch V2 is 6 days late. Ordered on 04 March.,Unknown,Low,SmartWatch V2,order for smartwatch v is days late. ordered on march.,54,10,-0.3,"['order', 'smartwatch', 'day', 'late', 'ordered', 'march']",order smartwatch day late ordered march
174,"Received wrong product, order mixed up.",Wrong Item,Medium,EcoBreeze AC,received wrong product order mixed up.,38,6,-0.25,"['received', 'wrong', 'product', 'order', 'mixed']",received wrong product order mixed
175,Can't log in to mi account. Keeps showing unknown issue. Help!,Account Access,Medium,EcoBreeze AC,can t log in to mi account. keeps showing unknown issue. help!,62,12,-0.125,"['log', 'account', 'keep', 'showing', 'unknown', 'issue', 'help']",log account keep showing unknown issue help
176,Is this item in stock? Delivery expected by 05 May.,General Inquiry,Medium,SoundWave 300,is this item in stock? delivery expected by may.,48,9,-0.1,"['item', 'stock', 'delivery', 'expected', 'may']",item stock delivery expected may
177,Can't log in to my account. Keeps showing reset required. Help!,Account Access,High,SoundWave 300,can t log in to my account. keeps showing reset required. help!,63,12,0.0,"['log', 'account', 'keep', 'showing', 'reset', 'required', 'help']",log account keep showing reset required help
178,"Can't access my account. Also, I contacted support on 12 May but got no response.",Account Access,High,SmartWatch V2,can t access my account. also i contacted support on may but got no response.,77,15,0.0,"['access', 'account', 'also', 'contacted', 'support', 'may', 'got', 'response']",access account also contacted support may got response
179,Order #34198 for SmartWatch V2 is 15 days late. Ordered on 05 March.,Late Delivery,Medium,SmartWatch V2,order for smartwatch v is days late. ordered on march.,54,10,-0.3,"['order', 'smartwatch', 'day', 'late', 'ordered', 'march']",order smartwatch day late ordered march
180,Facing installation issue with SoundWave 300. Setup fails at step 4.,Installation Issue,Low,SoundWave 300,facing installation issue with soundwave . setup fails at step .,64,11,-0.5,"['facing', 'installation', 'issue', 'soundwave', 'setup', 'fails', 'step']",facing installation issue soundwave setup fails step
181,Facing installation issue with RoboChef Blender. Setup fails at step 6.,Installation Issue,Low,RoboChef Blender,facing installation issue with robochef blender. setup fails at step .,70,11,-0.5,"['facing', 'installation', 'issue', 'robochef', 'blender', 'setup', 'fails', 'step']",facing installation issue robochef blender setup fails step
182,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in red? Also, I contacted support on 16 March but got no response.",General Inquiry,High,SmartWatch V2,can you tell me more about the smartwatch v warranty? also is it available in red? also i contacted support on march but got no response.,137,26,0.3,"['tell', 'smartwatch', 'warranty', 'also', 'available', 'red', 'also', 'contacted', 'support', 'march', 'got', 'response']",tell smartwatch warranty also available red also contacted support march got response
183,Can't log in to my account. Keeps showing reset required. Help!,Account Access,High,Vision LED TV,can t log in to my account. keeps showing reset required. help!,63,12,0.0,"['log', 'account', 'keep', 'showing', 'reset', 'required', 'help']",log account keep showing reset required help
184,Payment issue for my FitRun Treadmill. I was overbilled for order #81052.,Billing Problem,High,FitRun Treadmill,payment issue for my fitrun treadmill. i was overbilled for order .,67,12,0.0,"['payment', 'issue', 'fitrun', 'treadmill', 'overbilled', 'order']",payment issue fitrun treadmill overbilled order
185,"I ordered SmartWatch V2 but got PowerMax Battery instead. My order number is #37056. Also, I contacted support on 06 May but got no response.",Wrong Item,Low,SmartWatch V2,i ordered smartwatch v but got powermax battery instead. my order number is . also i contacted support on may but got no response.,130,24,0.0,"['ordered', 'smartwatch', 'got', 'powermax', 'battery', 'instead', 'order', 'number', 'also', 'contacted', 'support', 'may', 'got', 'response']",ordered smartwatch got powermax battery instead order number also contacted support may got response
186,PowerMax Battery is not working. It stopped working after just 5 days.,Product Defect,Low,PowerMax Battery,powermax battery is not working. it stopped working after just days.,68,11,0.0,"['powermax', 'battery', 'working', 'stopped', 'working', 'day']",powermax battery working stopped working day
187,Order #35506 for EcoBreeze AC is 8 days late. Ordered on 27 March.,Late Delivery,High,EcoBreeze AC,order for ecobreeze ac is days late. ordered on march.,54,10,-0.3,"['order', 'ecobreeze', 'day', 'late', 'ordered', 'march']",order ecobreeze day late ordered march
188,RoboChef Blender is malfunction. It stopped working after just 3 days.,Product Defect,High,RoboChef Blender,robochef blender is malfunction. it stopped working after just days.,68,10,0.0,"['robochef', 'blender', 'malfunction', 'stopped', 'working', 'day']",robochef blender malfunction stopped working day
189,Both my PhotoSnap Cam and SoundWave 300 are cracked. Both giving issues. Delivery expected by 17 March.,Product Defect,Medium,PhotoSnap Cam,both my photosnap cam and soundwave are cracked. both giving issues. delivery expected by march.,96,15,-0.1,"['photosnap', 'cam', 'soundwave', 'cracked', 'giving', 'issue', 'delivery', 'expected', 'march']",photosnap cam soundwave cracked giving issue delivery expected march
190,Facing installation issue with RoboChef Blender. Setup fails at step 2.,Installation Issue,Medium,RoboChef Blender,facing installation issue with robochef blender. setup fails at step .,70,11,-0.5,"['facing', 'installation', 'issue', 'robochef', 'blender', 'setup', 'fails', 'step']",facing installation issue robochef blender setup fails step
191,"Can you tell me more about the UltraClean Vacuum warranty? Also, is it available in red?",General Inquiry,High,UltraClean Vacuum,can you tell me more about the ultraclean vacuum warranty? also is it available in red?,87,16,0.22291666666666665,"['tell', 'ultraclean', 'vacuum', 'warranty', 'also', 'available', 'red']",tell ultraclean vacuum warranty also available red
192,Facing installation issue with Vision LED TV. Setup fails at step 5.,Unknown,Medium,Vision LED TV,facing installation issue with vision led tv. setup fails at step .,67,12,-0.5,"['facing', 'installation', 'issue', 'vision', 'led', 'setup', 'fails', 'step']",facing installation issue vision led setup fails step
193,I ordered EcoBreeze AC but got PowerMax Battery instead. My order number is #70963.,Wrong Item,Medium,EcoBreeze AC,i ordered ecobreeze ac but got powermax battery instead. my order number is .,77,14,0.0,"['ordered', 'ecobreeze', 'got', 'powermax', 'battery', 'instead', 'order', 'number']",ordered ecobreeze got powermax battery instead order number
194,Order #86969 for FitRun Treadmill is 16 days late. Ordered on 04 May.,Unknown,Low,FitRun Treadmill,order for fitrun treadmill is days late. ordered on may.,56,10,-0.3,"['order', 'fitrun', 'treadmill', 'day', 'late', 'ordered', 'may']",order fitrun treadmill day late ordered may
195,"Payment issue fr mi PhotoSnap Cam. I was not refunded fr order #55921. Also, I contacted support on 09 March but got no response.",Billing Problem,Low,PhotoSnap Cam,payment issue fr mi photosnap cam. i was not refunded fr order . also i contacted support on march but got no response.,119,23,0.0,"['payment', 'issue', 'photosnap', 'cam', 'refunded', 'order', 'also', 'contacted', 'support', 'march', 'got', 'response']",payment issue photosnap cam refunded order also contacted support march got response
196,Vision LED TV is late. It stopped working after just 7 days.,Unknown,High,Vision LED TV,vision led tv is late. it stopped working after just days.,58,11,-0.3,"['vision', 'led', 'late', 'stopped', 'working', 'day']",vision led late stopped working day
197,"Not able to install my product. Also, I contacted support on 09 March but got no response.",Installation Issue,Medium,PowerMax Battery,not able to install my product. also i contacted support on march but got no response.,86,16,-0.25,"['able', 'install', 'product', 'also', 'contacted', 'support', 'march', 'got', 'response']",able install product also contacted support march got response
198,I ordered SmartWatch V2 but got SmartWatch V2 instead. My order number is #52790.,Unknown,Medium,SmartWatch V2,i ordered smartwatch v but got smartwatch v instead. my order number is .,73,14,0.0,"['ordered', 'smartwatch', 'got', 'smartwatch', 'instead', 'order', 'number']",ordered smartwatch got smartwatch instead order number
199,Can't log in to my account. Keeps showing unknown issue. Help!,Account Access,High,PhotoSnap Cam,can t log in to my account. keeps showing unknown issue. help!,62,12,-0.125,"['log', 'account', 'keep', 'showing', 'unknown', 'issue', 'help']",log account keep showing unknown issue help
200,"I ordered UltraClean Vacuum but got UltraClean Vacuum instead. My order number is #31416. Also, I contacted support on 02 April but got no response.",Wrong Item,High,UltraClean Vacuum,i ordered ultraclean vacuum but got ultraclean vacuum instead. my order number is . also i contacted support on april but got no response.,138,24,-0.008333333333333333,"['ordered', 'ultraclean', 'vacuum', 'got', 'ultraclean', 'vacuum', 'instead', 'order', 'number', 'also', 'contacted', 'support', 'april', 'got', 'response']",ordered ultraclean vacuum got ultraclean vacuum instead order number also contacted support april got response
201,"Can you tell me more about the SmartWatch V2 warranty? Also, is it available in red?",General Inquiry,Medium,SmartWatch V2,can you tell me more about the smartwatch v warranty? also is it available in red?,82,16,0.3,"['tell', 'smartwatch', 'warranty', 'also', 'available', 'red']",tell smartwatch warranty also available red
202,Facing installation issue with . Setup fails at step 3.,Installation Issue,Medium,SmartWatch V2,facing installation issue with . setup fails at step .,54,10,-0.5,"['facing', 'installation', 'issue', 'setup', 'fails', 'step']",facing installation issue setup fails step
203,Can't log in to my account. Keeps showing reset required. Help!,Account Access,Medium,PhotoSnap Cam,can t log in to my account. keeps showing reset required. help!,63,12,0.0,"['log', 'account', 'keep', 'showing', 'reset', 'required', 'help']",log account keep showing reset required help
204,"Can you tell me more about the FitRun Treadmill warranty? Also, is it available in blue?",General Inquiry,Medium,FitRun Treadmill,can you tell me more about the fitrun treadmill warranty? also is it available in blue?,87,16,0.3,"['tell', 'fitrun', 'treadmill', 'warranty', 'also', 'available', 'blue']",tell fitrun treadmill warranty also available blue
205,"Can you tell me more about the Vision LED TV warranty? Also, is it available in blue? Also, I contacted support on 29 March but got no response.",General Inquiry,High,Vision LED TV,can you tell me more about the vision led tv warranty? also is it available in blue? also i contacted support on march but got no response.,139,27,0.3,"['tell', 'vision', 'led', 'warranty', 'also', 'available', 'blue', 'also', 'contacted', 'support', 'march', 'got', 'response']",tell vision led warranty also available blue also contacted support march got response
206,Facing installation issue with RoboChef Blender. Setup fails at step 5.,Installation Issue,Low,RoboChef Blender,facing installation issue with robochef blender. setup fails at step .,70,11,-0.5,"['facing', 'installation', 'issue', 'robochef', 'blender', 'setup', 'fails', 'step']",facing installation issue robochef blender setup fails step
207,"Can't log in to my account. Keeps showing reset required. Help! Also, I contacted support on 04 May but got no response. Delivery expected by 04 May.",Account Access,Medium,RoboChef Blender,can t log in to my account. keeps showing reset required. help! also i contacted support on may but got no response. delivery expected by may.,142,26,-0.1,"['log', 'account', 'keep', 'showing', 'reset', 'required', 'help', 'also', 'contacted', 'support', 'may', 'got', 'response', 'delivery', 'expected', 'may']",log account keep showing reset required help also contacted support may got response delivery expected may
208,UltraClean Vacuum is defective. It stopped working after just 1 days.,Product Defect,Low,UltraClean Vacuum,ultraclean vacuum is defective. it stopped working after just days.,67,10,-0.008333333333333333,"['ultraclean', 'vacuum', 'defective', 'stopped', 'working', 'day']",ultraclean vacuum defective stopped working day
209,Order #46182 for EcoBreeze AC is 9 days late. Ordered on 19 May.,Late Delivery,Low,EcoBreeze AC,order for ecobreeze ac is days late. ordered on may.,52,10,-0.3,"['order', 'ecobreeze', 'day', 'late', 'ordered', 'may']",order ecobreeze day late ordered may
210,Facing installation issue with SmartWatch V2. Setup fails at step 1.,Installation Issue,Low,SmartWatch V2,facing installation issue with smartwatch v . setup fails at step .,67,12,-0.5,"['facing', 'installation', 'issue', 'smartwatch', 'setup', 'fails', 'step']",facing installation issue smartwatch setup fails step
211,I ordered  but got SoundWave 300 instead. My order number is #23976.,Wrong Item,High,EcoBreeze AC,i ordered but got soundwave instead. my order number is .,57,11,0.0,"['ordered', 'got', 'soundwave', 'instead', 'order', 'number']",ordered got soundwave instead order number
212,,Product Defect,Medium,SmartWatch V2,,0,0,0.0,[],empty text
213,Payment issue for my Vision LED TV. I was debited incorrectly for order #39849.,Billing Problem,Low,Vision LED TV,payment issue for my vision led tv. i was debited incorrectly for order .,73,14,0.0,"['payment', 'issue', 'vision', 'led', 'debited', 'incorrectly', 'order']",payment issue vision led debited incorrectly order
214,Payment problem fr order #94367. Need urgent help.,Billing Problem,Low,SoundWave 300,payment problem fr order . need urgent help.,44,8,0.0,"['payment', 'problem', 'order', 'need', 'urgent', 'help']",payment problem order need urgent help
215,Order #26115 for  is 4 days late. Ordered on 24 April.,Late Delivery,Low,ProTab X1,order for is days late. ordered on april.,41,8,-0.3,"['order', 'day', 'late', 'ordered', 'april']",order day late ordered april
216,I ordered  but got PowerMax Battery instead. My order number is #90318.,Wrong Item,High,SmartWatch V2,i ordered but got powermax battery instead. my order number is .,64,12,0.0,"['ordered', 'got', 'powermax', 'battery', 'instead', 'order', 'number']",ordered got powermax battery instead order number
217,Payment issue for my SmartWatch V2. I was underbilled for order #44795.,Billing Problem,Medium,SmartWatch V2,payment issue for my smartwatch v . i was underbilled for order .,65,13,0.0,"['payment', 'issue', 'smartwatch', 'underbilled', 'order']",payment issue smartwatch underbilled order
218,Facing installation issue with UltraClean Vacuum. Setup fails at step 3.,Installation Issue,Low,UltraClean Vacuum,facing installation issue with ultraclean vacuum. setup fails at step .,71,11,-0.25416666666666665,"['facing', 'installation', 'issue', 'ultraclean', 'vacuum', 'setup', 'fails', 'step']",facing installation issue ultraclean vacuum setup fails step
219,"Facing installation issue with . Setup fails at step 2. Also, I contacted support on 19 March but got no response.",Installation Issue,Low,PowerMax Battery,facing installation issue with . setup fails at step . also i contacted support on march but got no response.,109,20,-0.5,"['facing', 'installation', 'issue', 'setup', 'fails', 'step', 'also', 'contacted', 'support', 'march', 'got', 'response']",facing installation issue setup fails step also contacted support march got response
220,Not able to install my product.,Installation Issue,High,SmartWatch V2,not able to install my product.,31,6,-0.25,"['able', 'install', 'product']",able install product
221,Facing installation issue with RoboChef Blender. Setup fails at step 1.,Installation Issue,Medium,RoboChef Blender,facing installation issue with robochef blender. setup fails at step .,70,11,-0.5,"['facing', 'installation', 'issue', 'robochef', 'blender', 'setup', 'fails', 'step']",facing installation issue robochef blender setup fails step
222,"Payment issue for my PowerMax Battery. I was not refunded for order #68783. Also, I contacted support on 13 March but got no response.",Billing Problem,Low,PowerMax Battery,payment issue for my powermax battery. i was not refunded for order . also i contacted support on march but got no response.,124,23,0.0,"['payment', 'issue', 'powermax', 'battery', 'refunded', 'order', 'also', 'contacted', 'support', 'march', 'got', 'response']",payment issue powermax battery refunded order also contacted support march got response
223,"Can you tell me more about the PhotoSnap Cam warranty? Also, is it available in red?",General Inquiry,Medium,PhotoSnap Cam,can you tell me more about the photosnap cam warranty? also is it available in red?,83,16,0.3,"['tell', 'photosnap', 'cam', 'warranty', 'also', 'available', 'red']",tell photosnap cam warranty also available red
224,,Installation Issue,Medium,PowerMax Battery,,0,0,0.0,[],empty text
225,"Can you tell me more about the  warranty? Also, is it available in red?",General Inquiry,Medium,ProTab X1,can you tell me more about the warranty? also is it available in red?,69,14,0.3,"['tell', 'warranty', 'also', 'available', 'red']",tell warranty also available red
226,Facing installation issue with SoundWave 300. Setup fails at step 1.,Installation Issue,Medium,SoundWave 300,facing installation issue with soundwave . setup fails at step .,64,11,-0.5,"['facing', 'installation', 'issue', 'soundwave', 'setup', 'fails', 'step']",facing installation issue soundwave setup fails step
227,Not able to install my product. Delivery expected by 26 March.,Installation Issue,Low,PhotoSnap Cam,not able to install my product. delivery expected by march.,59,10,-0.175,"['able', 'install', 'product', 'delivery', 'expected', 'march']",able install product delivery expected march
228,SoundWave 300 is late. It stopped working after just 12 days.,Product Defect,Medium,SoundWave 300,soundwave is late. it stopped working after just days.,54,9,-0.3,"['soundwave', 'late', 'stopped', 'working', 'day']",soundwave late stopped working day
229,Payment issue for my PowerMax Battery. I was overbilled for order #61694.,Billing Problem,Medium,PowerMax Battery,payment issue for my powermax battery. i was overbilled for order .,67,12,0.0,"['payment', 'issue', 'powermax', 'battery', 'overbilled', 'order']",payment issue powermax battery overbilled order
230,Order #98576 for PowerMax Battery is 3 days late. Ordered on 06 May.,Late Delivery,Medium,PowerMax Battery,order for powermax battery is days late. ordered on may.,56,10,-0.3,"['order', 'powermax', 'battery', 'day', 'late', 'ordered', 'may']",order powermax battery day late ordered may
231,Payment issue for my . I was charged twice for order #70857.,Billing Problem,High,PhotoSnap Cam,payment issue for my . i was charged twice for order .,54,12,0.0,"['payment', 'issue', 'charged', 'twice', 'order']",payment issue charged twice order
232,"Both my UltraClean Vacuum and ProTab X1 are lost. Both giving issues. Also, I contacted support on 24 March but got no response.",Product Defect,High,UltraClean Vacuum,both my ultraclean vacuum and protab x are lost. both giving issues. also i contacted support on march but got no response.,123,22,-0.008333333333333333,"['ultraclean', 'vacuum', 'protab', 'lost', 'giving', 'issue', 'also', 'contacted', 'support', 'march', 'got', 'response']",ultraclean vacuum protab lost giving issue also contacted support march got response
233,Payment issue for my . I was overbilled for order #41191.,Billing Problem,Medium,UltraClean Vacuum,payment issue for my . i was overbilled for order .,51,11,0.0,"['payment', 'issue', 'overbilled', 'order']",payment issue overbilled order
234,EcoBreeze AC is not received. It stopped working after just 4 days.,Product Defect,Medium,EcoBreeze AC,ecobreeze ac is not received. it stopped working after just days.,65,11,0.0,"['ecobreeze', 'received', 'stopped', 'working', 'day']",ecobreeze received stopped working day
235,Can't log in to my account. Keeps showing error. Help!,Account Access,Low,FitRun Treadmill,can t log in to my account. keeps showing error. help!,54,11,0.0,"['log', 'account', 'keep', 'showing', 'error', 'help']",log account keep showing error help
236,Order #61028 for PhotoSnap Cam is 6 days late. Ordered on 08 March.,Late Delivery,Medium,PhotoSnap Cam,order for photosnap cam is days late. ordered on march.,55,10,-0.3,"['order', 'photosnap', 'cam', 'day', 'late', 'ordered', 'march']",order photosnap cam day late ordered march
237,"PowerMax Battery is glitchy. It stopped working after just 10 days. Also, I contacted support on 14 May but got no response.",Product Defect,High,PowerMax Battery,powermax battery is glitchy. it stopped working after just days. also i contacted support on may but got no response.,117,20,0.0,"['powermax', 'battery', 'glitchy', 'stopped', 'working', 'day', 'also', 'contacted', 'support', 'may', 'got', 'response']",powermax battery glitchy stopped working day also contacted support may got response
238,"Can you tell me more about the ProTab X1 warranty? Also, is it available in blue?",General Inquiry,Low,ProTab X1,can you tell me more about the protab x warranty? also is it available in blue?,79,16,0.3,"['tell', 'protab', 'warranty', 'also', 'available', 'blue']",tell protab warranty also available blue
239," is defective. It stopped working after just 2 days. Also, I contacted support on 11 March but got no response.",Product Defect,Medium,ProTab X1,is defective. it stopped working after just days. also i contacted support on march but got no response.,104,18,0.0,"['defective', 'stopped', 'working', 'day', 'also', 'contacted', 'support', 'march', 'got', 'response']",defective stopped working day also contacted support march got response
240,"Can't log in to my account. Keeps showing captcha failed. Help! Also, I contacted support on 15 March but got no response. Delivery expected by 15 March.",Account Access,Low,Vision LED TV,can t log in to my account. keeps showing captcha failed. help! also i contacted support on march but got no response. delivery expected by march.,146,26,-0.3625,"['log', 'account', 'keep', 'showing', 'captcha', 'failed', 'help', 'also', 'contacted', 'support', 'march', 'got', 'response', 'delivery', 'expected', 'march']",log account keep showing captcha failed help also contacted support march got response delivery expected march
241,I ordered RoboChef Blender but got UltraClean Vacuum instead. My order number is #75624.,Wrong Item,Low,RoboChef Blender,i ordered robochef blender but got ultraclean vacuum instead. my order number is .,82,14,-0.008333333333333333,"['ordered', 'robochef', 'blender', 'got', 'ultraclean', 'vacuum', 'instead', 'order', 'number']",ordered robochef blender got ultraclean vacuum instead order number
